2025-06-20 11:19:07,639: [Key.caps_lock]
2025-06-20 11:19:07,891: Key pressed: t
2025-06-20 11:19:08,050: [Key.caps_lock]
2025-06-20 11:19:08,448: Key pressed: e
2025-06-20 11:19:08,655: Key pressed: s
2025-06-20 11:19:08,813: Key pressed: t
2025-06-20 11:19:08,955:  
2025-06-20 11:19:10,020: Key pressed: f
2025-06-20 11:19:10,196: Key pressed: o
2025-06-20 11:19:10,275: Key pressed: r
2025-06-20 11:19:10,370:  
2025-06-20 11:19:10,530: Key pressed: t
2025-06-20 11:19:10,625: Key pressed: h
2025-06-20 11:19:10,768: Key pressed: e
2025-06-20 11:19:10,832:  
2025-06-20 11:19:10,895: Key pressed: k
2025-06-20 11:19:11,323: Key pressed: e
2025-06-20 11:19:11,529: Key pressed: y
2025-06-20 11:19:11,672: Key pressed: l
2025-06-20 11:19:11,863: Key pressed: o
2025-06-20 11:19:11,990: Key pressed: g
2025-06-20 11:19:12,195: Key pressed: g
2025-06-20 11:19:12,452: Key pressed: e
2025-06-20 11:19:12,546: Key pressed: r
2025-06-20 11:19:13,243: Key pressed: .
2025-06-20 11:19:13,561:  
2025-06-20 11:19:13,816:  
2025-06-20 11:19:14,023:  
2025-06-20 11:19:16,672: [Key.caps_lock]
2025-06-20 11:19:19,984: Key pressed: n
2025-06-20 11:19:20,381: [Key.caps_lock]
2025-06-20 11:19:20,587: Key pressed: e
2025-06-20 11:19:20,839: Key pressed: t
2025-06-20 11:19:21,808: Key pressed: h
2025-06-20 11:19:21,955: Key pressed: a
2025-06-20 11:19:22,195: Key pressed: x
2025-06-20 11:19:22,864: [Key.caps_lock]
2025-06-20 11:19:23,150: Key pressed: s
2025-06-20 11:19:23,404: [Key.caps_lock]
2025-06-20 11:19:23,626: Key pressed: t
2025-06-20 11:19:23,832: Key pressed: a
2025-06-20 11:19:23,929: Key pressed: r
2025-06-20 11:19:24,086: Key pressed: k
2025-06-20 11:19:27,670:  
2025-06-20 11:19:28,112:  
2025-06-20 11:19:28,347:  
2025-06-20 11:19:28,571:  
2025-06-20 11:19:29,365: [Key.caps_lock]
2025-06-20 11:19:30,410: Key pressed: y
2025-06-20 11:19:30,650: [Key.caps_lock]
2025-06-20 11:19:30,954: Key pressed: o
2025-06-20 11:19:31,127: Key pressed: u
2025-06-20 11:19:31,414: Key pressed: k
2025-06-20 11:19:31,558: Key pressed: n
2025-06-20 11:19:31,797: Key pressed: o
2025-06-20 11:19:32,064: Key pressed: w
2025-06-20 11:19:32,547: Key pressed: i
2025-06-20 11:19:32,745: Key pressed: t
2025-06-20 11:19:32,968:  
2025-06-20 11:19:36,080: [Key.ctrl_l]
2025-06-20 11:19:36,585: [Key.ctrl_l]
2025-06-20 11:19:36,618: [Key.ctrl_l]
2025-06-20 11:19:36,650: [Key.ctrl_l]
2025-06-20 11:19:36,682: [Key.ctrl_l]
2025-06-20 11:19:36,714: [Key.ctrl_l]
2025-06-20 11:19:36,761: [Key.ctrl_l]
2025-06-20 11:19:36,791: [Key.ctrl_l]
2025-06-20 11:19:36,823: [Key.ctrl_l]
2025-06-20 11:19:36,854: [Key.ctrl_l]
2025-06-20 11:19:36,886: [Key.ctrl_l]
2025-06-20 11:19:36,918: [Key.ctrl_l]
2025-06-20 11:19:36,950: [Key.ctrl_l]
2025-06-20 11:19:36,982: [Key.ctrl_l]
2025-06-20 11:19:37,014: [Key.ctrl_l]
2025-06-20 11:19:37,045: [Key.ctrl_l]
2025-06-20 11:19:37,079: [Key.ctrl_l]
2025-06-20 11:19:37,109: [Key.ctrl_l]
2025-06-20 11:19:37,142: [Key.ctrl_l]
2025-06-20 11:19:37,174: [Key.ctrl_l]
2025-06-20 11:19:37,222: [Key.ctrl_l]
2025-06-20 11:19:37,252: [Key.ctrl_l]
2025-06-20 11:19:37,284: [Key.ctrl_l]
2025-06-20 11:19:37,316: [Key.ctrl_l]
2025-06-20 11:19:37,348: [Key.ctrl_l]
2025-06-20 11:19:37,381: [Key.ctrl_l]
2025-06-20 11:19:37,411: [Key.ctrl_l]
2025-06-20 11:19:37,442: [Key.ctrl_l]
2025-06-20 11:19:37,475: [Key.ctrl_l]
2025-06-20 11:19:37,506: [Key.ctrl_l]
2025-06-20 11:19:37,538: [Key.ctrl_l]
2025-06-20 11:19:37,570: [Key.ctrl_l]
2025-06-20 11:19:37,618: [Key.ctrl_l]
2025-06-20 11:19:37,651: [Key.ctrl_l]
2025-06-20 11:19:37,683: [Key.ctrl_l]
2025-06-20 11:19:37,714: [Key.ctrl_l]
2025-06-20 11:19:37,745: [Key.ctrl_l]
2025-06-20 11:19:37,776: [Key.ctrl_l]
2025-06-20 11:19:37,808: [Key.ctrl_l]
2025-06-20 11:19:37,840: [Key.ctrl_l]
2025-06-20 11:19:37,872: [Key.ctrl_l]
2025-06-20 11:19:37,904: [Key.ctrl_l]
2025-06-20 11:19:37,936: [Key.ctrl_l]
2025-06-20 11:19:37,967: [Key.ctrl_l]
2025-06-20 11:19:38,016: [Key.ctrl_l]
2025-06-20 11:19:38,046: [Key.ctrl_l]
2025-06-20 11:19:38,343: [Key.alt_l]
2025-06-20 11:19:38,480: 
[TAB]

2025-06-20 11:19:42,616: [ESC]
